Name of School,2011,2012,2013,2014,2015,2016,2017,2018,2019,Private,Catholic
Fordham University,77.62,81.03,80.51,80.02,80.51,79.62,79.46,83.32,82.74,1,1
Siena College,73.79,73.4,79.64,79.85,75.1,74.87,78.16,74.08,79.74,1,1
Manhattan College,72.29,74.65,73.73,75.07,72.15,70.82,75.19,73.52,70.86,1,1
Canisius College,66.67,68.26,67.49,67.91,69.87,70.78,69.34,68.5,73.19,1,1
Niagara University,64.93,67.38,65.13,64.09,62.89,66.77,67.62,70.69,72.7,1,1
St Bonaventure University,62.89,63.83,66.6,68.03,64.3,63.77,68.71,68.45,74.2,1,1
Iona College,57.47,64.67,62.58,58.41,65.91,68.31,64.41,66.76,64.43,1,1
St Johns University-New York,57.44,58.59,55.7,58.75,58.01,58,57.92,60.79,62.79,1,1
St Francis College,49.9,51.9,52.09,54.77,52.07,52.42,47.14,54.7,57.88,1,1
